
URL                                                                     | Module                                          | Name                                                 | Decorator
/wf/api/workflows/auto_vacuum/                                          | workflow.views.WorkflowViewSet                  | workflow-auto-vacuum                                 | 
/wf/api/workflows/auto_vacuum\.<format>/                                | workflow.views.WorkflowViewSet                  | workflow-auto-vacuum                                 | 
/wf/api/workflows/context/                                              | workflow.views.WorkflowViewSet                  | workflow-context                                     | 
/wf/api/workflows/context\.<format>/                                    | workflow.views.WorkflowViewSet                  | workflow-context                                     | 
/wf/api/workflows/count/                                                | workflow.views.WorkflowViewSet                  | workflow-count                                       | 
/wf/api/workflows/count\.<format>/                                      | workflow.views.WorkflowViewSet                  | workflow-count                                       | 
/wf/api/workflows/delete/                                               | workflow.views.WorkflowViewSet                  | workflow-delete                                      | 
/wf/api/workflows/delete\.<format>/                                     | workflow.views.WorkflowViewSet                  | workflow-delete                                      | 
/wf/api/workflows/log_list/                                             | workflow.views.WorkflowViewSet                  | workflow-log-list                                    | 
/wf/api/workflows/log_list\.<format>/                                   | workflow.views.WorkflowViewSet                  | workflow-log-list                                    | 
/wf/api/workflows/metrics/                                              | workflow.views.WorkflowViewSet                  | workflow-metrics                                     | 
/wf/api/workflows/metrics\.<format>/                                    | workflow.views.WorkflowViewSet                  | workflow-metrics                                     | 
/wf/api/workflows/statuslist/                                           | workflow.views.WorkflowViewSet                  | workflow-statuslist                                  | 
/wf/api/workflows/statuslist\.<format>/                                 | workflow.views.WorkflowViewSet                  | workflow-statuslist                                  | 
/wf/api/workflows/vocab/                                                | workflow.views.WorkflowViewSet                  | workflow-vocab                                       | 
/wf/api/workflows/vocab\.<format>/                                      | workflow.views.WorkflowViewSet                  | workflow-vocab                                       | 
/wf/api/workflows\.<format>/                                            | workflow.views.WorkflowViewSet                  | workflow-list                                        | 
/wf/favicon.ico                                                         | django.views.generic.base.RedirectView          | favicon                                              | 
/wf/workflow/                                                           | django.views.generic.base.RedirectView          |                                                      | 
/wf/workflow/config/                                                    | workflow.views.ActionCountView                  |                                                      | 
/wf/workflow/create-start/                                              | workflow.views.CreateAndStartView               |                                                      | 
/wf/workflow/healthcheck/                                               | workflow.views.HealthcheckView                  |                                                      | 
/wf/workflow/healthcheck/job/                                           | workflow.views.JobHealthcheckView               |                                                      | 
/wf/workflow/healthcheck/job/<task_id>/                                 | workflow.views.JobHealthcheckView               |                                                      | 
/wf/workflow/output-detail/                                             | workflow.views.OutputView                       |                                                      | 
/wf/workflow/purge/tasks/                                               | workflow.views.TasksView                        | tasks-purge-view                                     | 
/wf/workflow/revoke/tasks/                                              | workflow.views.TasksView                        | tasks-revoke-view                                    | 
/wf/workflow/smtpconfig/                                                | workflow.views.SMTPConfigView                   |                                                      | 
/wf/workflow/start/                                                     | workflow.views.StartView                        | start-view                                           | 
/wf/workflow/tasks/                                                     | workflow.views.TasksView                        | tasks-view                                           | 
/wf/workflow/tasks/<func_name>/                                         | workflow.views.TaskDetailView                   | tasks-detail-view                                    | 
